x-axis,1,2
second,Volt,Volt
-105.0000E-06,,
-104.8900E-06,,
-104.7800E-06,-181.9094718E-03,+30.9718577266E+00
-104.6700E-06,-433.1657551E-03,+30.9718577266E+00
-104.5600E-06,-181.9094718E-03,+30.9718577266E+00
-104.4500E-06,-433.1657551E-03,+30.9718577266E+00
-104.3400E-06,-433.1657551E-03,+30.9718577266E+00
-104.2300E-06,-181.9094718E-03,+30.9718577266E+00
-104.1200E-06,+69.3468116E-03,+30.9718577266E+00
-104.0100E-06,-181.9094718E-03,+30.8211039566E+00
-103.9000E-06,-332.6632418E-03,+30.9718577266E+00
-103.7900E-06,-181.9094718E-03,+30.7206014432E+00
-103.6800E-06,-181.9094718E-03,+30.8211039566E+00
-103.5700E-06,-583.9195251E-03,+30.9718577266E+00
-103.4600E-06,-583.9195251E-03,+30.8211039566E+00
-103.3500E-06,-181.9094718E-03,+30.7206014432E+00
-103.2400E-06,-332.6632418E-03,+30.8211039566E+00
-103.1300E-06,-433.1657551E-03,+30.9718577266E+00
-103.0200E-06,-181.9094718E-03,+30.5698476732E+00
-102.9100E-06,-332.6632418E-03,+30.7206014432E+00
-102.8000E-06,-433.1657551E-03,+30.5698476732E+00
-102.6900E-06,-583.9195251E-03,+30.7206014432E+00
-102.5800E-06,-181.9094718E-03,+30.8211039566E+00
-102.4700E-06,-433.1657551E-03,+30.9718577266E+00
-102.3600E-06,-181.9094718E-03,+30.5698476732E+00
-102.2500E-06,-181.9094718E-03,+30.8211039566E+00
-102.1400E-06,-332.6632418E-03,+30.8211039566E+00
-102.0300E-06,-583.9195251E-03,+30.9718577266E+00
-101.9200E-06,-583.9195251E-03,+30.8713552132E+00
-101.8100E-06,-181.9094718E-03,+30.9718577266E+00
-101.7000E-06,-583.9195251E-03,+30.9718577266E+00
-101.5900E-06,-181.9094718E-03,+30.7206014432E+00
-101.4800E-06,-181.9094718E-03,+30.9718577266E+00
-101.3700E-06,-433.1657551E-03,+30.9718577266E+00
-101.2600E-06,-31.1557017E-03,+30.8211039566E+00
-101.1500E-06,-332.6632418E-03,+30.9718577266E+00
-101.0400E-06,-583.9195251E-03,+30.9718577266E+00
-100.9300E-06,-181.9094718E-03,+30.9718577266E+00
-100.8200E-06,-433.1657551E-03,+30.7206014432E+00
-100.7100E-06,-181.9094718E-03,+30.7206014432E+00
-100.6000E-06,-181.9094718E-03,+30.9718577266E+00
-100.4900E-06,-31.1557017E-03,+30.8211039566E+00
-100.3800E-06,-583.9195251E-03,+30.9718577266E+00
